date,market,symbol,name,open,high,low,close,volume,source
2021-07-29,us,HOOD,,38.0,40.25,33.349998474121094,34.81999969482422,102474700,Yahoo Finance daily
2021-07-30,us,HOOD,,34.93000030517578,36.97999954223633,33.25,35.150001525878906,40632200,Yahoo Finance daily
2021-08-02,us,HOOD,,35.970001220703125,37.97999954223633,35.29999923706055,37.68000030517578,19948500,Yahoo Finance daily
2021-08-03,us,HOOD,,37.9109992980957,48.59000015258789,37.15900039672852,46.79999923706055,93819200,Yahoo Finance daily
2021-08-04,us,HOOD,,54.45000076293945,85.0,54.400001525878906,70.38999938964844,175790500,Yahoo Finance daily
2021-08-05,us,HOOD,,62.900001525878906,66.5,50.459999084472656,50.970001220703125,82470400,Yahoo Finance daily
2021-08-06,us,HOOD,,57.77000045776367,60.880001068115234,53.09999847412109,55.0099983215332,70131700,Yahoo Finance daily
2021-08-09,us,HOOD,,59.08399963378906,59.959999084472656,56.0,56.83000183105469,27495200,Yahoo Finance daily
2021-08-10,us,HOOD,,56.48500061035156,58.4900016784668,53.5,53.93999862670898,17066400,Yahoo Finance daily
2021-08-11,us,HOOD,,54.56800079345703,54.60599899291992,49.0,51.18999862670898,15893100,Yahoo Finance daily
2021-08-12,us,HOOD,,50.125,50.38999938964844,47.52000045776367,48.09999847412109,13391400,Yahoo Finance daily
2021-08-13,us,HOOD,,48.45000076293945,53.20000076293945,48.220001220703125,50.630001068115234,25659800,Yahoo Finance daily
2021-08-16,us,HOOD,,49.400001525878906,49.790000915527344,47.0,47.18999862670898,11993900,Yahoo Finance daily
2021-08-17,us,HOOD,,47.29999923706055,48.84999847412109,46.0099983215332,46.66999816894531,9160300,Yahoo Finance daily
2021-08-18,us,HOOD,,47.96500015258789,52.060001373291016,47.20000076293945,49.79999923706055,24408000,Yahoo Finance daily
2021-08-19,us,HOOD,,45.060001373291016,46.880001068115234,44.1349983215332,44.68999862670898,18517600,Yahoo Finance daily
2021-08-20,us,HOOD,,45.20000076293945,45.560001373291016,42.43999862670898,42.63999938964844,11764300,Yahoo Finance daily
2021-08-23,us,HOOD,,44.15999984741211,46.84999847412109,43.31999969482422,45.290000915527344,15664700,Yahoo Finance daily
2021-08-24,us,HOOD,,46.459999084472656,50.2400016784668,46.0,49.380001068115234,17122700,Yahoo Finance daily
2021-08-25,us,HOOD,,48.42499923706055,50.9900016784668,47.5,48.97999954223633,10837500,Yahoo Finance daily
2021-08-26,us,HOOD,,48.0,49.84999847412109,46.400001525878906,46.86000061035156,7187700,Yahoo Finance daily
2021-08-27,us,HOOD,,46.79899978637695,48.09999847412109,46.13999938964844,46.869998931884766,6058100,Yahoo Finance daily
2021-08-30,us,HOOD,,46.29999923706055,46.59999847412109,42.560001373291016,43.63999938964844,12363800,Yahoo Finance daily
2021-08-31,us,HOOD,,42.02999877929688,44.5,41.5099983215332,44.31999969482422,8847500,Yahoo Finance daily
2021-09-01,us,HOOD,,43.7599983215332,47.119998931884766,43.70000076293945,44.56999969482422,11013000,Yahoo Finance daily
2021-09-02,us,HOOD,,45.20199966430664,45.79999923706055,44.20000076293945,44.4900016784668,4088600,Yahoo Finance daily
2021-09-03,us,HOOD,,44.69300079345703,44.880001068115234,43.150001525878906,43.34999847412109,4652500,Yahoo Finance daily
2021-09-07,us,HOOD,,43.33000183105469,43.38999938964844,41.75,42.130001068115234,6179200,Yahoo Finance daily
2021-09-08,us,HOOD,,42.0,42.209999084472656,39.810001373291016,40.04999923706055,7834900,Yahoo Finance daily
2021-09-09,us,HOOD,,40.5,42.540000915527344,40.38100051879883,41.27999877929688,6981900,Yahoo Finance daily
2021-09-10,us,HOOD,,41.5,42.52000045776367,40.720001220703125,41.16999816894531,5521800,Yahoo Finance daily
2021-09-13,us,HOOD,,41.220001220703125,41.38999938964844,39.79999923706055,40.59999847412109,4309200,Yahoo Finance daily
2021-09-14,us,HOOD,,41.0,41.0,39.22999954223633,40.02000045776367,4298000,Yahoo Finance daily
2021-09-15,us,HOOD,,40.20000076293945,41.93999862670898,39.83000183105469,41.869998931884766,5835900,Yahoo Finance daily
2021-09-16,us,HOOD,,41.619998931884766,42.43000030517578,40.90999984741211,41.95000076293945,4206700,Yahoo Finance daily
2021-09-17,us,HOOD,,41.91999816894531,42.9010009765625,41.900001525878906,42.380001068115234,5000800,Yahoo Finance daily
2021-09-20,us,HOOD,,40.619998931884766,41.560001373291016,40.02999877929688,40.70000076293945,4437800,Yahoo Finance daily
2021-09-21,us,HOOD,,41.040000915527344,42.68999862670898,40.79399871826172,42.290000915527344,5984800,Yahoo Finance daily
2021-09-22,us,HOOD,,43.0,46.93999862670898,42.7599983215332,46.880001068115234,14619500,Yahoo Finance daily
2021-09-23,us,HOOD,,46.28499984741211,47.84000015258789,44.709999084472656,45.93999862670898,12129400,Yahoo Finance daily
2021-09-24,us,HOOD,,44.70000076293945,46.54999923706055,44.34999847412109,44.90999984741211,6058000,Yahoo Finance daily
2021-09-27,us,HOOD,,44.93000030517578,45.90999984741211,43.95000076293945,44.7599983215332,4041700,Yahoo Finance daily
