date,open,high,low,close,adj_close,volume,symbol,market,source,fetched_at
2025-11-28,91285.3828125,92969.0859375,90257.1171875,90919.265625,90919.265625,60895830289,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-11-29,90918.7421875,91187.6171875,90260.1875,90851.7578125,90851.7578125,37921773455,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-11-30,90838.2109375,91965.046875,90394.3125,90394.3125,90394.3125,38497902869,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-01,90389.109375,90398.15625,83862.25,86321.5703125,86321.5703125,87962894424,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-02,86322.5390625,92316.6328125,86202.1953125,91350.203125,91350.203125,78546798211,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-03,91345.09375,94060.7734375,91056.390625,93527.8046875,93527.8046875,77650204986,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-04,93454.2578125,94038.2421875,90976.1015625,92141.625,92141.625,64538402681,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-05,92133.6484375,92702.640625,88152.140625,89387.7578125,89387.7578125,63256398633,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-06,89389.359375,90267.4609375,88951.6640625,89272.375,89272.375,37994042405,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-07,89277.8125,91740.84375,87799.5625,90405.640625,90405.640625,47394898960,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-08,90424.5859375,92267.1171875,89644.890625,90640.203125,90640.203125,57394099056,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-09,90639.703125,94601.5703125,89586.9765625,92691.7109375,92691.7109375,66861721440,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-10,92695.234375,94477.15625,91640.1328125,92020.9453125,92020.9453125,65420694513,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-11,92011.3046875,93554.265625,89335.296875,92511.3359375,92511.3359375,64532834621,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-12,92513.6640625,92747.9296875,89532.6015625,90270.4140625,90270.4140625,80275884583,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-13,90257.796875,90647.5703125,89800.9921875,90298.7109375,90298.7109375,64237748110,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-14,90296.4375,90498.109375,87634.9375,88175.1796875,88175.1796875,50465972205,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-15,88171.078125,89983.921875,85304.078125,86419.78125,86419.78125,45559514323,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-16,86424.40625,88170.09375,85381.6875,87843.984375,87843.984375,41262178223,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-17,87847.6171875,90264.5703125,85316.265625,86143.7578125,86143.7578125,44243392914,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-18,86144.3671875,89412.6640625,84436.3125,85462.5078125,85462.5078125,52667115348,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-19,85476.1328125,89339.1171875,85107.6640625,88103.3828125,88103.3828125,46733310561,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-20,88101.671875,88497.203125,87924.875,88344.0,88344.0,14688196659,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-21,88344.703125,89027.953125,87613.203125,88621.75,88621.75,19845522660,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-22,88621.3984375,90501.9296875,87908.0703125,88490.015625,88490.015625,38047472118,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
2025-12-23,88490.03125,88898.3828125,86606.9765625,87414.0,87414.0,43683011533,BTC-USD,us,Yahoo chart,2026-05-26 16:01:24 KST
