시장,종목,위험 구분,초보자 해석,핵심 사유,권장 행동,종목코드,종목명,분류,핵심요약,다음행동
한국주식,DB하이텍 (000990),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,000990,DB하이텍 (000990),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,DL이앤씨 (375500),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,375500,DL이앤씨 (375500),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,HD현대중공업 (329180),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,329180,HD현대중공업 (329180),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,LG유플러스 (032640),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,032640,LG유플러스 (032640),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,SK텔레콤 (017670),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,017670,SK텔레콤 (017670),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,SK하이닉스 (000660),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,000660,SK하이닉스 (000660),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,두산테스나 (131970),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,131970,두산테스나 (131970),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,리노공업 (058470),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,058470,리노공업 (058470),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,삼성전자 (005930),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,005930,삼성전자 (005930),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,심텍 (222800),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,222800,심텍 (222800),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
한국주식,한화에어로스페이스 (012450),주의,매수 전 가격·수급·뉴스를 한 번 더 확인해야 합니다.,백테스트 참고,소액 또는 관망,012450,한화에어로스페이스 (012450),risk,신규매수보다 제외·관망이 우선인 후보,매수 보류 또는 비중 축소 검토
