시장,종목코드,종목명,분류,기준가,1일상승확률,3일상승확률,5일상승확률,신뢰도,다음 행동
미국주식,,Alphabet (GOOGL),오늘 확인,$382.97,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Amazon (AMZN),오늘 확인,$266.32,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Caterpillar (CAT),오늘 확인,$879.89,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Circle (CRCL),오늘 확인,$113.12,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Cloudflare (NET),오늘 확인,$216.17,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Costco (COST),오늘 확인,"$1,028.24",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Intel (INTC),오늘 확인,$119.84,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Lumentum (LITE),오늘 확인,$946.90,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,NVIDIA (NVDA),오늘 확인,$215.33,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Nebius (NBIS),오늘 확인,$214.77,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Palantir (PLTR),오늘 확인,$136.88,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Riot Platforms (RIOT),오늘 확인,$24.49,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,SanDisk (SNDK),오늘 확인,"$1,478.69",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Super Micro Computer (SMCI),오늘 확인,$35.58,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,TSMC (TSM),오늘 확인,$404.52,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Tesla (TSLA),오늘 확인,$426.01,58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Alphabet (GOOGL),눌림목,$382.97,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Amazon (AMZN),눌림목,$266.32,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Caterpillar (CAT),눌림목,$879.89,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Circle (CRCL),눌림목,$113.12,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Cloudflare (NET),눌림목,$216.17,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
